Province,Margin
Eastern Cape,25.833240030823408
Free State,20.55080541565478
Gauteng,-13.558894276343386
KwaZulu-Natal,-6.433597617491435
Limpopo,20.97148449330721
Mpumalanga,15.016058741956236
North West,10.958832158037309
Northern Cape,35.59052741409995
Western Cape,-3.4146889132270255
