Province,TotalClaims
Eastern Cape,27128.533277192982
Free State,32265.661084529474
Gauteng,22243.878395705604
KwaZulu-Natal,29609.487472667177
Limpopo,15171.294186959934
Mpumalanga,15979.55342105263
North West,16963.467034635298
Northern Cape,11186.313596491224
Western Cape,28095.849880512094
