Province,ClaimOccurred
Eastern Cape,0.0016482067510548524
Free State,0.0013581923694283246
Gauteng,0.0033564800121869166
KwaZulu-Natal,0.002844841295551328
Limpopo,0.002697696891608955
Mpumalanga,0.0024280132023217875
North West,0.002435671065763119
Northern Cape,0.0012539184952978057
Western Cape,0.002166327080259491
